"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"TP.nlogox"
"experiment2"
"10/19/2025 21:40:02:765 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num_firefighters","agents_energy","firefighters_transport_capacity","num_obstacles","oxygen_tanks_energy","num_smoke","num_oxygen_tanks","num_victims","[step]","count victims with [rescued?]","ticks"
"1","50","70","10","50","15","20","25","50","85","27","85"
"2","50","70","10","50","15","20","25","50","84","24","84"
"3","50","70","10","50","15","20","25","50","84","24","84"
"4","50","70","10","50","15","20","25","50","85","27","85"
"5","50","70","10","50","15","20","25","50","85","25","85"
"6","50","70","10","50","15","20","25","50","91","25","91"
"7","50","70","10","50","15","20","25","50","87","19","87"
"8","50","70","10","50","15","20","25","50","84","21","84"
"9","50","70","10","50","15","20","25","50","97","25","97"
"10","50","70","10","50","15","20","25","50","85","19","85"
"11","50","70","15","50","15","20","25","50","89","29","89"
"12","50","70","15","50","15","20","25","50","86","29","86"
"13","50","70","15","50","15","20","25","50","98","26","98"
"14","50","70","15","50","15","20","25","50","82","27","82"
"15","50","70","15","50","15","20","25","50","87","26","87"
"16","50","70","15","50","15","20","25","50","84","25","84"
"17","50","70","15","50","15","20","25","50","90","31","90"
"18","50","70","15","50","15","20","25","50","83","30","83"
"19","50","70","15","50","15","20","25","50","87","31","87"
"20","50","70","15","50","15","20","25","50","98","14","98"
"21","50","70","20","50","15","20","25","50","91","30","91"
"22","50","70","20","50","15","20","25","50","92","23","92"
"23","50","70","20","50","15","20","25","50","92","26","92"
"24","50","70","20","50","15","20","25","50","90","23","90"
"25","50","70","20","50","15","20","25","50","96","20","96"
"26","50","70","20","50","15","20","25","50","97","27","97"
"27","50","70","20","50","15","20","25","50","83","28","83"
"28","50","70","20","50","15","20","25","50","85","22","85"
"29","50","70","20","50","15","20","25","50","81","30","81"
"30","50","70","20","50","15","20","25","50","95","27","95"
