BehaviorSpace results (NetLogo 7.0.0),Table version 2.0,,,,,,,,,,,,
TP.nlogox,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,
10/19/2025 21:34:04:844 +0100,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,
[run number],num_firefighters,agents_energy,firefighters_transport_capacity,num_obstacles,oxygen_tanks_energy,num_smoke,num_oxygen_tanks,num_victims,[step],count victims with [rescued?],count victims with [dead?],count firefighters with [dead?],ticks
1,25,70,10,50,15,20,25,50,90,17,33,7,90
2,25,70,10,50,15,20,25,50,88,15,35,8,88
3,25,70,10,50,15,20,25,50,97,22,28,1,97
4,25,70,10,50,15,20,25,50,92,15,35,5,92
5,25,70,10,50,15,20,25,50,89,21,29,0,89
6,25,70,10,50,15,20,25,50,80,21,29,2,80
7,25,70,10,50,15,20,25,50,93,13,37,7,93
8,25,70,10,50,15,20,25,50,97,23,27,3,97
9,25,70,10,50,15,20,25,50,97,23,27,2,97
10,25,70,10,50,15,20,25,50,85,22,28,1,85
11,50,70,10,50,15,20,25,50,86,21,29,7,86
12,50,70,10,50,15,20,25,50,86,26,24,6,86
13,50,70,10,50,15,20,25,50,94,29,21,7,94
14,50,70,10,50,15,20,25,50,80,25,25,2,80
15,50,70,10,50,15,20,25,50,88,28,22,9,88
16,50,70,10,50,15,20,25,50,95,22,28,11,95
17,50,70,10,50,15,20,25,50,98,26,24,2,98
18,50,70,10,50,15,20,25,50,97,30,20,6,97
19,50,70,10,50,15,20,25,50,85,19,31,9,85
20,50,70,10,50,15,20,25,50,96,26,24,9,96
21,75,70,10,50,15,20,25,50,85,29,21,11,85
22,75,70,10,50,15,20,25,50,81,19,31,16,81
23,75,70,10,50,15,20,25,50,89,34,16,10,89
24,75,70,10,50,15,20,25,50,85,29,21,10,85
25,75,70,10,50,15,20,25,50,85,28,22,8,85
26,75,70,10,50,15,20,25,50,86,23,27,11,86
27,75,70,10,50,15,20,25,50,84,30,20,7,84
28,75,70,10,50,15,20,25,50,83,28,22,3,83
29,75,70,10,50,15,20,25,50,90,29,21,6,90
30,75,70,10,50,15,20,25,50,85,34,16,14,85
