BehaviorSpace results (NetLogo 7.0.0),Table version 2.0,,,,,,,,,,,
TP.nlogox,,,,,,,,,,,,
experiment2,,,,,,,,,,,,
10/19/2025 21:38:44:837 +0100,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
-16,16,-16,16,,,,,,,,,
[run number],num_firefighters,agents_energy,firefighters_transport_capacity,num_obstacles,oxygen_tanks_energy,num_smoke,num_oxygen_tanks,num_victims,[step],count victims with [rescued?],count firefighters with [dead? = false],agents alive
1,50,70,10,50,15,20,25,50,85,22,41,63
2,50,70,10,50,15,20,25,50,88,25,43,68
3,50,70,10,50,15,20,25,50,85,21,35,56
4,50,70,10,50,15,20,25,50,85,21,43,64
5,50,70,10,50,15,20,25,50,89,26,40,66
6,50,70,10,50,15,20,25,50,91,20,45,65
7,50,70,10,50,15,20,25,50,81,27,47,74
8,50,70,10,50,15,20,25,50,93,27,44,71
9,50,70,10,50,15,20,25,50,91,27,43,70
10,50,70,10,50,15,20,25,50,85,29,48,77
11,50,70,10,50,15,20,50,50,94,26,47,73
12,50,70,10,50,15,20,50,50,96,22,46,68
13,50,70,10,50,15,20,50,50,89,18,42,60
14,50,70,10,50,15,20,50,50,90,19,48,67
15,50,70,10,50,15,20,50,50,91,19,41,60
16,50,70,10,50,15,20,50,50,99,18,44,62
17,50,70,10,50,15,20,50,50,88,21,46,67
18,50,70,10,50,15,20,50,50,96,26,49,75
19,50,70,10,50,15,20,50,50,92,23,43,66
20,50,70,10,50,15,20,50,50,99,20,44,64
21,50,70,10,50,15,20,75,50,99,13,50,63
22,50,70,10,50,15,20,75,50,91,26,48,74
23,50,70,10,50,15,20,75,50,94,17,49,66
24,50,70,10,50,15,20,75,50,95,10,46,56
25,50,70,10,50,15,20,75,50,96,11,39,50
26,50,70,10,50,15,20,75,50,94,14,43,57
27,50,70,10,50,15,20,75,50,99,13,41,54
28,50,70,10,50,15,20,75,50,96,17,45,62
29,50,70,10,50,15,20,75,50,97,21,48,69
30,50,70,10,50,15,20,75,50,99,24,49,73
